ID,Date,Open,High,Low,Close,Vol.,Change %
1017,2016-6-29,17.15,17.7,16.9,17.1,6830000,-0.0029
1018,2016-6-30,17.6,18,17.5,17.75,20740000,0.0380
1019,2016-7-1,17.5,17.6,17.5,17.55,20360000,-0.0113
1020,2016-7-4,17.55,17.55,17.25,17.45,6500000,-0.0057
1021,2016-7-5,17.3,17.5,17.3,17.35,4190000,-0.0057
1022,2016-7-6,17.3,17.6,17.15,17.55,9340000,0.0115
1023,2016-7-8,17.5,17.75,17.35,17.55,8550000,0.0000
1024,2016-7-11,17.55,17.75,17.3,17.45,14810000,-0.0057
1025,2016-7-12,17.4,17.5,17.05,17.3,7790000,-0.0086
1026,2016-7-13,17.3,17.4,17.2,17.35,2750000,0.0029
1027,2016-7-14,17.35,17.5,17.35,17.4,13520000,0.0029
1028,2016-7-15,17.4,17.4,17.3,17.35,9030000,-0.0029
1029,2016-7-18,17.35,17.35,17.1,17.25,1650000,-0.0058
1030,2016-7-19,17.3,17.95,17.25,17.65,31500000,0.0232
1031,2016-7-20,17.8,18.3,17.1,18,24870000,0.0198
1032,2016-7-21,18,18.2,18,18.1,21420000,0.0056
1033,2016-7-22,18.05,18.1,18,18.05,4730000,-0.0028
1034,2016-7-25,18.25,18.3,18,18.1,8330000,0.0028
1035,2016-7-26,18.4,19.2,18.4,18.85,19380000,0.0414
1036,2016-7-27,19,19,18.55,18.85,4920000,0.0000
1037,2016-7-28,18.8,19.05,18.8,18.9,8620000,0.0027
1038,2016-7-29,18.9,19.2,18.9,19.05,2840000,0.0079
1039,2016-8-1,19.1,19.55,19,19.4,17380000,0.0184
1040,2016-8-2,19.5,21,19.5,20,19790000,0.0309
1041,2016-8-3,20.25,20.75,20.25,20.25,13090000,0.0125
1042,2016-8-4,20.25,20.25,19.4,19.65,3090000,-0.0296
1043,2016-8-5,19.5,20,19.5,19.8,11540000,0.0076
1044,2016-8-8,19.55,19.8,19.55,19.7,9870000,-0.0051
1045,2016-8-9,19.7,20,19.65,19.75,5320000,0.0025
1046,2016-8-10,19.8,20,19.8,19.9,4460000,0.0076
1047,2016-8-11,19.8,20,19.75,19.9,3250000,0.0000
1048,2016-8-12,19.9,20.25,19.9,20,1460000,0.0050
1049,2016-8-15,20,20.5,20,20.25,1390000,0.0125
1050,2016-8-16,20.25,21.5,20.25,21,6350000,0.0370
1051,2016-8-17,21.25,21.75,21,21.25,8690000,0.0119
1052,2016-8-18,21,21.5,21,21.25,19520000,0.0000
1053,2016-8-19,21.25,21.5,20.5,21.25,41410000,0.0000
1054,2016-8-22,21,21.25,20.5,20.75,2270000,-0.0235
1055,2016-8-23,20.75,21.5,20.75,21.25,2810000,0.0241
1056,2016-8-24,21,21.75,21,21.25,22570000,0.0000
1057,2016-8-25,21.25,21.5,19.15,20,26240000,-0.0588
1058,2016-8-26,19.5,19.85,19.5,19.65,9080000,-0.0175
1059,2016-8-29,19.75,20.25,19.75,20,46320000,0.0178
1060,2016-8-30,20,20.25,19.8,20,12410000,0.0000
1061,2016-8-31,20,20.5,20,20,12200000,0.0000
1062,2016-9-1,20.25,20.5,19.9,20,58730000,0.0000
1063,2016-9-2,19.9,20.25,19.85,19.95,5900000,-0.0025
1064,2016-9-5,19,19,18,18.4,5360000,-0.0777
1065,2016-9-6,18.5,19,18.5,18.85,4870000,0.0245
1066,2016-9-7,18.95,19.1,18.8,19,57670000,0.0080
1067,2016-9-8,19,19.05,18.9,19,6430000,0.0000
1068,2016-9-9,19,19.5,18.95,19,3640000,0.0000
1069,2016-9-13,19,19.3,18.65,19,8090000,0.0000
1070,2016-9-14,18.9,19,18.7,18.9,6340000,-0.0053
1071,2016-9-15,18.85,19,18.75,18.9,1710000,0.0000
1072,2016-9-16,19,19,18.75,18.9,2720000,0.0000
1073,2016-9-19,18.9,19.2,18.9,19,2170000,0.0053
1074,2016-9-20,19.05,19.3,19.05,19.15,5390000,0.0079
1075,2016-9-21,19.05,19.4,19,19.35,10810000,0.0104
1076,2016-9-22,19.5,19.5,19,19.4,106200000,0.0026
1077,2016-9-23,19.2,19.55,19.2,19.4,1500000,0.0000
1078,2016-9-26,19.55,19.7,19.2,19.5,1120000,0.0052
1079,2016-9-27,19.55,19.8,19.55,19.7,53640000,0.0103
1080,2016-9-28,19.7,20,19.2,19.95,7410000,0.0127
1081,2016-9-29,19.2,19.95,19.2,19.85,939800,-0.0050
1082,2016-9-30,19.7,20,19.7,19.95,16350000,0.0050
1083,2016-10-3,19.9,20.5,19.7,20,7980000,0.0025
1084,2016-10-4,20,20.25,20,20,8620000,0.0000
1085,2016-10-5,20,20.25,19.95,20,4780000,0.0000
1086,2016-10-6,20,20.25,19.9,19.95,3650000,-0.0025
1087,2016-10-7,19.95,20.5,19.95,20.25,3910000,0.0150
1088,2016-10-10,20.25,20.5,20,20.25,37950000,0.0000
1089,2016-10-11,20.25,20.75,19.95,20,9580000,-0.0123
1090,2016-10-12,20,20,19.5,19.9,3600000,-0.0050
1091,2016-10-13,19.75,20.25,19.75,19.95,6400000,0.0025
1092,2016-10-14,19.85,20.25,19.85,19.95,495000,0.0000
1093,2016-10-17,20,20,19.8,19.85,3700000,-0.0050
1094,2016-10-18,19.85,19.85,19.7,19.75,909500,-0.0050
1095,2016-10-19,19.75,19.8,19.55,19.7,1850000,-0.0025
1096,2016-10-21,19.75,19.85,19.65,19.7,17660000,0.0000
1097,2016-10-24,19.7,20.25,19.7,20,4940000,0.0152
1098,2016-10-25,20,20.25,19.8,20,1570000,0.0000
1099,2016-10-26,20,20.25,19.95,20,8900000,0.0000
1100,2016-10-27,20,20,19.9,19.95,6140000,-0.0025
1101,2016-10-28,20,20,19.8,19.9,628500,-0.0025
1102,2016-10-31,19.9,19.95,19.75,19.85,4520000,-0.0025
1103,2016-11-1,19.9,21.25,19.75,20.25,4060000,0.0202
1104,2016-11-2,20,21,20,20.75,4070000,0.0247
1105,2016-11-3,20.75,21.5,20.75,21.25,21770000,0.0241
1106,2016-11-4,21.25,21.75,20.75,21.25,18370000,0.0000
1107,2016-11-7,21.5,21.5,21,21,5740000,-0.0118
1108,2016-11-8,20.75,21,20.5,20.75,16020000,-0.0119
1109,2016-11-9,20.75,20.75,19.65,20.25,7080000,-0.0241
1110,2016-11-10,20.25,21,20.25,20.75,3930000,0.0247
1111,2016-11-11,21,21,20.5,20.75,8730000,0.0000
1112,2016-11-14,21,21,20.25,20.25,3330000,-0.0241
1113,2016-11-15,20.25,20.75,20,20.25,3410000,0.0000
1114,2016-11-16,20,21,20,20.5,4930000,0.0123
1115,2016-11-17,20.75,21.5,20.25,20.5,8050000,0.0000
1116,2016-11-18,20.75,20.75,20,20,2020000,-0.0244
1117,2016-11-21,20,20.25,19.9,20,10280000,0.0000
1118,2016-11-22,20,20.25,19.95,19.95,12830000,-0.0025
1119,2016-11-23,20,20.25,19.95,20,12870000,0.0025
1120,2016-11-24,20,20.25,19.9,19.95,17760000,-0.0025
1121,2016-11-25,19.9,20,19.8,19.9,450200,-0.0025
1122,2016-11-28,19.95,19.95,19.7,19.85,6250000,-0.0025
1123,2016-11-29,19.9,19.95,19.7,19.85,14560000,0.0000
1124,2016-11-30,19.85,20,19.85,19.9,24810000,0.0025
1125,2016-12-1,19.9,20.25,19.9,20,7030000,0.0050
1126,2016-12-2,20,20.25,19.9,19.95,9740000,-0.0025
1127,2016-12-5,19.9,20,19.85,19.9,4020000,-0.0025
1128,2016-12-6,19.85,19.95,19.75,19.8,5770000,-0.0050
1129,2016-12-7,19.85,19.85,19.65,19.7,3500000,-0.0051
1130,2016-12-8,19.6,19.7,18.95,19.35,6490000,-0.0178
1131,2016-12-9,20,20,18.9,19,2610000,-0.0181
1132,2016-12-13,18.95,19,18.8,18.9,7990000,-0.0053
1133,2016-12-14,18.85,19.5,18.5,18.9,3560000,0.0000
1134,2016-12-15,19,19,18.65,18.75,2000000,-0.0079
1135,2016-12-16,18.75,18.9,18.6,18.75,11320000,0.0000
1136,2016-12-19,18.8,19.3,18.6,19,7670000,0.0133
1137,2016-12-20,19.2,19.2,18.8,19,21730000,0.0000
1138,2016-12-21,19,19.15,18.9,19,6270000,0.0000
1139,2016-12-22,19,19.5,19,19.45,5920000,0.0237
1140,2016-12-23,19.1,19.6,19.1,19.5,3740000,0.0026
1141,2016-12-28,19.7,19.7,19.1,19.25,6530000,-0.0128
1142,2016-12-29,19.5,19.5,19,19.05,6070000,-0.0104
1143,2016-12-30,19.1,19.2,19,19.15,6060000,0.0052
1144,2017-1-3,18.9,19.2,18.9,19,10110000,-0.0078
1145,2017-1-4,19,19.05,18.9,19,2620000,0.0000
